,PrivCo_ID,profile_type,classification,status,PE_Backed,VC_Backed,year_founded,City,State,Country,Zip,Industry_PICS,Keywords,sic,naics,Company_Tags,fiscal_month,fiscal_day,Total_Round,index_total_funding,Latest_Valuation,Latest_Valuation_Year,1 Year Revenue Growth,3 Year Revenue Growth,1 Year Employee Growth,3 Year Employee Growth,2024 Revenue,2023 Revenue,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2024 Employees,2023 Employees,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2023 EBITDA,2022 EBITDA,2021 EBITDA,2020 EBITDA,2019 EBITDA,2018 EBITDA,2017 EBITDA,2023 EV,2022 EV,2021 EV,2020 EV,2019 EV,2018 EV,2017 EV,2023 Net Income,2022 Net Income,2021 Net Income,2020 Net Income,2019 Net Income,2018 Net Income,2017 Net Income
1528,1893370,Company,Private,Active,No,No,2019,Redwood City,CA,US,94061,Specialized Consumer Services,Health Care|Medical|Wellness,,,,12,31,0,,5700000,2023,,,,,,3700000,,,,,,,,18,,,,,,,385000,,,,,,,5700000,,,,,,,270000,,,,,,
1529,1893393,Company,Private,Active,No,No,2017,Santa Clara,CA,US,,Software & Internet Services,SaaS,,,,12,31,0,,45000000,2023,,,,,,6650000,,,,,,,,28,,,,,,,1650000,,,,,,,45000000,,,,,,,1150000,,,,,,
1530,1893409,Company,Private,Active,No,No,2019,Palo Alto,CA,US,,Specialized Consumer Services,Hospitality|Internet|Leisure|Travel,,,,12,31,0,,2300000,2023,,,,,,1500000,,,,,,,,7,,,,,,,155000,,,,,,,2300000,,,,,,,110000,,,,,,
1531,1893416,Company,Private,Active,No,No,2018,Boston,MA,US,,Technology Services,,,,,12,31,0,,18000000,2023,,,,,,3400000,,,,,,,,13,,,,,,,790000,,,,,,,18000000,,,,,,,550000,,,,,,
1532,1893509,Company,Private,Active,No,No,2018,Minneapolis,MN,US,,Software & Internet Services,Law Enforcement|Software,,,,12,31,0,,7800000,2023,,,,,,1150000,,,,,,,,6,,,,,,,280000,,,,,,,7800000,,,,,,,195000,,,,,,
1533,1893543,Company,Private,Active,No,No,2019,Oak Park,IL,US,,Entertainment,Education|Marketplace|Women-Founded,,,,12,31,0,,5950000,2023,,,,,,1900000,,,,,,,,6,,,,,,,190000,,,,,,,5950000,,,,,,,130000,,,,,,
1534,1893628,Company,Private,Active,No,No,2018,Los Angeles,CA,US,,Health Care Providers,Black-founded|Black-Led|Health Care|Hospital|Minority-led|Women-Founded,,,,12,31,0,,,,,,,,,275000,,,,,,,,2,,,,,,,31500,,,,,,,195000,,,,,,,22000,,,,,,
1535,1893636,Company,Private,Active,No,No,2018,Denver,CO,US,,Software & Internet Services,Cyber Security|Enterprise Software|Entertainment|Information Technology|Intellectual Property|Media|Security|Software|Women-Founded|Women-led,,,,12,31,0,,13500000,2023,,,,,,2000000,,,,,,,,10,,,,,,,490000,,,,,,,13500000,,,,,,,345000,,,,,,
1536,1893644,Company,Private,Active,No,No,2018,Brentwood,TN,US,,Technology Services,Consulting|Information Technology|SaaS|Software,,,,12,31,0,,7250000,2023,,,,,,1350000,,,,,,,,6,,,,,,,315000,,,,,,,7250000,,,,,,,220000,,,,,,
1537,1893649,Company,Private,Active,Yes,Yes,2018,Boston,MA,US,02134,Food & Beverage Producers,Beverages|Food|Food Processing|Food Service|Manufacturing|Robotics|Technology Hardware|Wellness,,,PE Backed|VC Backed,12,31,1,5000000,15000000,2022,8.6207,,,,,3150000,2900000,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
