,Data Export - All Companies with Recorded Fundraising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Additions,,,,,,,,,,,,,,,,CrunchBase Funding Rounds by Quarter,,,,,,CrunchBase Funding Total by Quarter,,,,,,Top Investors by Rounds 2014 YTD,,,Top Regions by Rounds 2014 YTD,,,Top Regions by Investment 2014 YTD,,,Top Categories by Rounds 2014 YTD,,,Top Categories by Investment 2014 YTD,,,Top Countries by Rounds 2014 YTD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year_str,(Multiple Items),,,,,,,,,,,,,,,funded_year,(Multiple Items),,,,,funded_year,(Multiple Items),,,,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,funded_year,2014,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,funding_round_type,(All),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,funding_round_type,(Multiple Items),,
Sum of value,Column Labels,,,,,,,,,,,,,,,Count of funded_at,Column Labels,,,,,Sum of raised_amount_usd,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,,,Row Labels,angel,venture,seed,private_equity,,Row Labels,angel,venture,seed,private_equity,,Count of funded_at,,,Count of funded_at,,,Sum of raised_amount_usd,,,Count of funded_at,,,Sum of raised_amount_usd,,,Count of funded_at,,,
2009-Q2," 1,420 "," 12,347 "," 6,217 "," 62,843 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3," 1,707 "," 11,676 "," 7,924 "," 74,519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4," 1,624 "," 11,136 "," 9,548 "," 85,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1," 2,609 "," 12,280 "," 12,157 "," 97,935 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2," 2,631 "," 11,551 "," 14,788 "," 109,486 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3," 1,894 "," 14,596 "," 16,682 "," 124,082 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4," 1,902 "," 14,838 "," 18,584 "," 138,920 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1," 1,325 "," 14,835 "," 19,909 "," 153,755 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2," 1,446 "," 14,637 "," 21,355 "," 168,392 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3," 1,550 "," 15,296 "," 22,905 "," 183,688 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
